Character,Betweenness Centrality,PageRank,Degree
Bryce Caron,0.0007519853212700747,0.0007338666847749834,0.030418250950570342
Robar Royce,0.0008061172218289684,0.001075159917106638,0.049429657794676805
Horas Redwyne,0.00364779981250266,0.0022413958481999137,0.11026615969581749
Hobber Redwyne,0.003314450961515883,0.002084133655249221,0.10266159695817491
Jared Frey,0.0014614812747417811,0.00113184663739625,0.058935361216730035
Hosteen Frey,0.006622775252936566,0.0025517640055365046,0.09315589353612168
Danwell Frey,0.001871291600633278,0.0012090795525502224,0.0779467680608365
Emmon Frey,0.0011389876564036933,0.001549071958933139,0.06273764258555133
Perwyn Frey,0.0005478081699188461,0.0013228033834855725,0.07034220532319392
Jalabhar Xho,0.002528582305446915,0.001694501613084067,0.10456273764258556
Lothor Brune,0.0005816917831227604,0.0009861573902324812,0.045627376425855515
Moon Boy,0.0001349664789236807,0.0009551157590563455,0.043726235741444866
Lancel Lannister,0.0021112176490085356,0.00317754658459068,0.09505703422053231
Anguy,0.000539899671457216,0.0014122635264102407,0.034220532319391636
Cayn,0.0006901255592150024,0.0008414997158670033,0.057034220532319393
Bronn,0.0049297001690587015,0.003053093012494796,0.12547528517110265
Roose Bolton,0.021823274039992773,0.004967913808029719,0.13307984790874525
Tanda Stokeworth,0.0002616580956898874,0.0014178553634139807,0.049429657794676805
Minisa Tully,0.0,0.0005768364962598612,0.013307984790874524
Nestor Royce,0.0002916757710845757,0.0009940643738014592,0.04182509505703422
Mya Stone,4.563521105329451e-05,0.0004984455119349438,0.019011406844106463
Lyn Corbray,0.00032477358592177945,0.0009919456273920497,0.03802281368821293
Vardis Egen,3.7970871048886764e-05,0.0007316078849324639,0.030418250950570342
Chataya,2.8157285425698513e-05,0.0006053981120085223,0.015209125475285171
Edric Storm,0.00017774682791158472,0.0011389836397986393,0.024714828897338403
Selyse Baratheon,0.002190759066247924,0.0025495135222151216,0.055133079847908745
Aggo,0.0006575572443641318,0.003355623415314061,0.055133079847908745
Rakharo,0.0006403909355085237,0.003263560613035527,0.053231939163498096
Kyra,1.5836241170909515e-05,0.0005818322820675124,0.009505703422053232
Osha,6.666602923378402e-05,0.0012822674918172743,0.039923954372623575
Farlen,0.000577035015685584,0.0009572379962871149,0.04182509505703422
Mord,4.097007169608288e-05,0.0006092575994606085,0.024714828897338403
Eon Hunter,4.8457811423057536e-05,0.0006836475938403366,0.030418250950570342
